state,year,refugees
Oregon,2001,28
Oregon,2002,20
Oregon,2003,7
Oregon,2004,15
Oregon,2005,
Oregon,2006,6
Oregon,2007,10
Oregon,2008,17
Oregon,2009,11
Oregon,2010,17
Oregon,2011,26
Oregon,2012,13
Oregon,2013,11
Oregon,2014,23
Oregon,2015,16
Oregon,2016,23
Oregon,2017,9
Oregon,2018,3
Pennsylvania,1980,20
Pennsylvania,1981,71
Pennsylvania,1982,
Pennsylvania,1983,16
Pennsylvania,1984,27
Pennsylvania,1985,29
Pennsylvania,1986,50
Pennsylvania,1987,44
Pennsylvania,1988,15
Pennsylvania,1989,33
Pennsylvania,1990,3
Pennsylvania,1991,27
Pennsylvania,1992,28
Pennsylvania,1993,11
Pennsylvania,1994,
Pennsylvania,1995,
Pennsylvania,1996,5
Pennsylvania,1997,
Pennsylvania,1998,7
Pennsylvania,1999,
Pennsylvania,2000,
Pennsylvania,2001,38
Pennsylvania,2002,45
Pennsylvania,2003,30
Pennsylvania,2004,14
Pennsylvania,2005,6
Pennsylvania,2006,4
Pennsylvania,2007,45
Pennsylvania,2008,73
Pennsylvania,2009,37
Pennsylvania,2010,6
Pennsylvania,2011,6
Pennsylvania,2012,6
Pennsylvania,2013,16
Pennsylvania,2014,4
Pennsylvania,2015,54
Pennsylvania,2016,21
Pennsylvania,2017,14
Pennsylvania,2018,10
Rhode Island,1980,
Rhode Island,1981,
Rhode Island,1982,
Rhode Island,1983,1
Rhode Island,1984,
Rhode Island,1985,
Rhode Island,1986,
Rhode Island,1987,
Rhode Island,1988,
Rhode Island,1989,
Rhode Island,1990,
Rhode Island,1991,
Rhode Island,1992,
Rhode Island,1993,
Rhode Island,1994,
Rhode Island,1995,
Rhode Island,1996,
Rhode Island,1997,
Rhode Island,1998,
Rhode Island,1999,
Rhode Island,2000,
Rhode Island,2001,
Rhode Island,2002,
Rhode Island,2003,
Rhode Island,2004,
Rhode Island,2005,
Rhode Island,2006,
Rhode Island,2007,
Rhode Island,2008,
Rhode Island,2009,
Rhode Island,2010,
Rhode Island,2011,5
Rhode Island,2012,
Rhode Island,2013,
Rhode Island,2014,
Rhode Island,2015,7
Rhode Island,2016,10
Rhode Island,2017,1
Rhode Island,2018,4
South Carolina,1980,
South Carolina,1981,1
South Carolina,1982,
South Carolina,1983,4
South Carolina,1984,3
South Carolina,1985,5
South Carolina,1986,7
South Carolina,1987,
South Carolina,1988,4
South Carolina,1989,
South Carolina,1990,
South Carolina,1991,
South Carolina,1992,
South Carolina,1993,
South Carolina,1994,
South Carolina,1995,
South Carolina,1996,
South Carolina,1997,
South Carolina,1998,
South Carolina,1999,5
South Carolina,2000,
South Carolina,2001,3
South Carolina,2002,2
South Carolina,2003,
South Carolina,2004,
South Carolina,2005,4
South Carolina,2006,
South Carolina,2007,
South Carolina,2008,
South Carolina,2009,1
South Carolina,2010,10
South Carolina,2011,1
South Carolina,2012,
South Carolina,2013,
South Carolina,2014,4
South Carolina,2015,
South Carolina,2016,5
South Carolina,2017,14
South Carolina,2018,4
South Dakota,1980,
South Dakota,1981,
South Dakota,1982,4
South Dakota,1983,8
South Dakota,1984,1
South Dakota,1985,1
South Dakota,1986,9
South Dakota,1987,1
South Dakota,1988,
South Dakota,1989,14
South Dakota,1990,
South Dakota,1991,5
South Dakota,1992,
South Dakota,1993,
South Dakota,1994,
South Dakota,1995,
South Dakota,1996,
South Dakota,1997,
South Dakota,1998,
South Dakota,1999,
South Dakota,2000,
South Dakota,2001,20
South Dakota,2002,24
South Dakota,2003,9
South Dakota,2004,3
South Dakota,2005,
South Dakota,2006,
South Dakota,2007,
South Dakota,2008,3
South Dakota,2009,
South Dakota,2010,1
South Dakota,2011,1
South Dakota,2012,
South Dakota,2013,
South Dakota,2014,
South Dakota,2015,
South Dakota,2016,
South Dakota,2017,
South Dakota,2018,
Tennessee,1980,
Tennessee,1981,16
Tennessee,1982,1
Tennessee,1983,16
Tennessee,1984,7
Tennessee,1985,29
Tennessee,1986,2
Tennessee,1987,24
Tennessee,1988,46
Tennessee,1989,48
Tennessee,1990,
Tennessee,1991,
Tennessee,1992,10
Tennessee,1993,
Tennessee,1994,
Tennessee,1995,
Tennessee,1996,
Tennessee,1997,
Tennessee,1998,
Tennessee,1999,4
Tennessee,2000,23
Tennessee,2001,19
Tennessee,2002,34
Tennessee,2003,19
Tennessee,2004,19
Tennessee,2005,15
Tennessee,2006,
Tennessee,2007,19
Tennessee,2008,8
Tennessee,2009,
Tennessee,2010,5
Tennessee,2011,4
Tennessee,2012,
Tennessee,2013,
Tennessee,2014,3
Tennessee,2015,7
Tennessee,2016,58
Tennessee,2017,10
Tennessee,2018,6
Texas,1980,
Texas,1981,58
Texas,1982,16
Texas,1983,76
Texas,1984,80
Texas,1985,84
Texas,1986,128
Texas,1987,164
Texas,1988,28
Texas,1989,44
Texas,1990,7
Texas,1991,20
Texas,1992,25
Texas,1993,3
Texas,1994,
Texas,1995,
Texas,1996,
Texas,1997,
Texas,1998,
Texas,1999,8
Texas,2000,137
Texas,2001,250
Texas,2002,183
Texas,2003,99
Texas,2004,67
Texas,2005,107
Texas,2006,83
Texas,2007,48
Texas,2008,19
Texas,2009,21
Texas,2010,34
Texas,2011,33
Texas,2012,32
Texas,2013,47
Texas,2014,84
Texas,2015,64
Texas,2016,237
Texas,2017,67
Texas,2018,52
Utah,1980,
Utah,1981,5
Utah,1982,
Utah,1983,6
Utah,1984,2
Utah,1985,1
Utah,1986,3
Utah,1987,
Utah,1988,7
Utah,1989,
Utah,1990,
Utah,1991,
Utah,1992,25
Utah,1993,3
Utah,1994,
Utah,1995,2
Utah,1996,
Utah,1997,
Utah,1998,
Utah,1999,10
Utah,2000,28
Utah,2001,52
Utah,2002,52
Utah,2003,41
Utah,2004,
Utah,2005,12
Utah,2006,3
Utah,2007,
Utah,2008,7
Utah,2009,
Utah,2010,6
Utah,2011,10
Utah,2012,22
Utah,2013,12
Utah,2014,30
Utah,2015,16
Utah,2016,30
Utah,2017,14
Utah,2018,4
Vermont,1980,
Vermont,1981,
Vermont,1982,
Vermont,1983,
Vermont,1984,
Vermont,1985,
Vermont,1986,
Vermont,1987,
Vermont,1988,
Vermont,1989,
Vermont,1990,
Vermont,1991,
Vermont,1992,
Vermont,1993,
Vermont,1994,
Vermont,1995,
Vermont,1996,
Vermont,1997,
Vermont,1998,8
Vermont,1999,
Vermont,2000,
Vermont,2001,13
Vermont,2002,10
Vermont,2003,
Vermont,2004,
Vermont,2005,
Vermont,2006,
Vermont,2007,
Vermont,2008,
Vermont,2009,
Vermont,2010,
Vermont,2011,
Vermont,2012,
Vermont,2013,
Vermont,2014,
Vermont,2015,
Vermont,2016,
Vermont,2017,
Vermont,2018,
Virginia,1980,
Virginia,1981,235
Virginia,1982,35
Virginia,1983,323
Virginia,1984,294
Virginia,1985,253
Virginia,1986,236
Virginia,1987,272
Virginia,1988,231
Virginia,1989,200
Virginia,1990,9
Virginia,1991,115
Virginia,1992,112
Virginia,1993,62
Virginia,1994,
Virginia,1995,
Virginia,1996,
Virginia,1997,1
Virginia,1998,
Virginia,1999,62
Virginia,2000,174
Virginia,2001,206
Virginia,2002,86
Virginia,2003,106
Virginia,2004,59
Virginia,2005,42
Virginia,2006,49
Virginia,2007,45
Virginia,2008,62
Virginia,2009,17
Virginia,2010,34
Virginia,2011,26
Virginia,2012,26
Virginia,2013,56
Virginia,2014,22
Virginia,2015,78
Virginia,2016,115
Virginia,2017,75
Virginia,2018,47
Washington,1980,
Washington,1981,15
Washington,1982,9
Washington,1983,15
Washington,1984,38
Washington,1985,24
Washington,1986,61
Washington,1987,51
Washington,1988,43
Washington,1989,48
Washington,1990,
Washington,1991,31
Washington,1992,69
Washington,1993,20
Washington,1994,
Washington,1995,
Washington,1996,
Washington,1997,2
Washington,1998,3
Washington,1999,11
Washington,2000,39
Washington,2001,54
Washington,2002,50
Washington,2003,37
Washington,2004,11
Washington,2005,18
Washington,2006,11
Washington,2007,13
Washington,2008,7
Washington,2009,12
Washington,2010,15
Washington,2011,18
Washington,2012,26
Washington,2013,7
Washington,2014,21
Washington,2015,31
Washington,2016,21
Washington,2017,23
Washington,2018,7
West Virginia,1980,
West Virginia,1981,
West Virginia,1982,
West Virginia,1983,2
West Virginia,1984,6
West Virginia,1985,
West Virginia,1986,
West Virginia,1987,3
West Virginia,1988,
West Virginia,1989,
West Virginia,1990,
West Virginia,1991,
West Virginia,1992,
West Virginia,1993,
West Virginia,1994,
West Virginia,1995,
West Virginia,1996,
West Virginia,1997,
West Virginia,1998,
West Virginia,1999,
West Virginia,2000,
West Virginia,2001,
West Virginia,2002,
West Virginia,2003,
West Virginia,2004,
West Virginia,2005,
West Virginia,2006,
West Virginia,2007,
West Virginia,2008,
West Virginia,2009,
West Virginia,2010,
West Virginia,2011,
West Virginia,2012,
West Virginia,2013,
West Virginia,2014,
West Virginia,2015,
West Virginia,2016,
West Virginia,2017,
West Virginia,2018,
Wisconsin,1980,2
Wisconsin,1981,21
Wisconsin,1982,
Wisconsin,1983,8
Wisconsin,1984,3
Wisconsin,1985,24
Wisconsin,1986,
Wisconsin,1987,
Wisconsin,1988,2
Wisconsin,1989,
Wisconsin,1990,3
Wisconsin,1991,2
Wisconsin,1992,
Wisconsin,1993,
Wisconsin,1994,
Wisconsin,1995,
Wisconsin,1996,
Wisconsin,1997,
Wisconsin,1998,
Wisconsin,1999,
Wisconsin,2000,
Wisconsin,2001,12
Wisconsin,2002,25
Wisconsin,2003,13
Wisconsin,2004,10
Wisconsin,2005,1
Wisconsin,2006,1
Wisconsin,2007,7
Wisconsin,2008,4
Wisconsin,2009,
Wisconsin,2010,7
Wisconsin,2011,1
Wisconsin,2012,13
Wisconsin,2013,1
Wisconsin,2014,
Wisconsin,2015,10
Wisconsin,2016,26
Wisconsin,2017,1
Wisconsin,2018,7
Wyoming,1980,
Wyoming,1981,
Wyoming,1982,7
Wyoming,1983,14
Wyoming,1984,7
Wyoming,1985,2
Wyoming,1986,
Wyoming,1987,
Wyoming,1988,
Wyoming,1989,5
Wyoming,1990,
Wyoming,1991,
Wyoming,1992,
Wyoming,1993,
Wyoming,1994,
Wyoming,1995,
Wyoming,1996,
Wyoming,1997,
Wyoming,1998,
Wyoming,1999,
Wyoming,2000,
Wyoming,2001,
Wyoming,2002,
Wyoming,2003,
Wyoming,2004,
Wyoming,2005,
Wyoming,2006,
Wyoming,2007,
Wyoming,2008,
Wyoming,2009,
Wyoming,2010,
Wyoming,2011,
Wyoming,2012,
Wyoming,2013,
Wyoming,2014,
Wyoming,2015,
Wyoming,2016,
Wyoming,2017,
Wyoming,2018,
